Campaign_Start_Date,Campaign_End_Date,Salesperson,Advertiser,Campaign,Flight,Creative,creative_id,Flight_Start_Date,Flight_End_Date,Tier,Served,Clicked,Acted,Acted_Post_Imps,Acted_Post_Clicks,Flat_rate,Cost_impressions,Cost_clicks,Cost_actions,Impressions,Clicks,Actions,Revenue,Cost_impressions_local,Cost_clicks_local,Cost_actions_local,Flat_rate_local,Revenue_local,Currency_id,Currency_code,Cost_per_actions,Cost_per_actions_post_imps,Cost_per_actions_post_clicks,OSI,CTR,CampaignId,flight_id,Flight_url
11/06/2018,02/28/2019,filip.obch,108 AGENCY sro,1811 S024294,44-09wk - Realitymix (Komerce) - Double Leaderboard - 990x210 ,1811_doubleleaderboard_990x210,46239,11/05/2018 11:00 PM,02/28/2019 10:59 PM,Garantovaný,99927,77,0,0,0,,285.0,0.0,0.0,100000,,,28479.2,285.0,0.0,0.0,,28479.2,203,CZK,0.0,0.0,0.0,,0.0771,12292,51925,http://cent.aimatch.com/flights/51925/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,09 - 18wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,02/28/2019 11:00 PM,05/05/2019  9:59 PM,Garantovaný,68170,33,0,0,0,,285.0,0.0,0.0,110000,,,19428.45,285.0,0.0,0.0,,19428.45,203,CZK,0.0,0.0,0.0,,0.0484,12778,53783,http://cent.aimatch.com/flights/53783/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,19wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,05/05/2019 10:00 PM,05/12/2019  9:59 PM,Garantovaný,20831,2,0,0,0,,285.0,0.0,0.0,50000,,,5936.84,285.0,0.0,0.0,,5936.84,203,CZK,0.0,0.0,0.0,,0.0096,12778,56087,http://cent.aimatch.com/flights/56087/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,20wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,05/12/2019 10:00 PM,05/19/2019  9:59 PM,Garantovaný,11089,4,0,0,0,,285.0,0.0,0.0,50000,,,3160.36,285.0,0.0,0.0,,3160.36,203,CZK,0.0,0.0,0.0,,0.0361,12778,56247,http://cent.aimatch.com/flights/56247/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,21wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,05/19/2019 10:00 PM,05/26/2019  9:59 PM,Garantovaný,4021,5,0,0,0,,285.0,0.0,0.0,50000,,,1145.98,285.0,0.0,0.0,,1145.98,203,CZK,0.0,0.0,0.0,,0.1243,12778,56329,http://cent.aimatch.com/flights/56329/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,22wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,05/26/2019 10:00 PM,06/02/2019  9:59 PM,Garantovaný,3574,4,0,0,0,,285.0,0.0,0.0,50000,,,1018.59,285.0,0.0,0.0,,1018.59,203,CZK,0.0,0.0,0.0,,0.1119,12778,56525,http://cent.aimatch.com/flights/56525/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,23wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,06/02/2019 10:00 PM,06/09/2019  9:59 PM,Garantovaný,13608,5,0,0,0,,285.0,0.0,0.0,50000,,,3878.28,285.0,0.0,0.0,,3878.28,203,CZK,0.0,0.0,0.0,,0.0367,12778,56636,http://cent.aimatch.com/flights/56636/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,24wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,06/09/2019 10:00 PM,06/16/2019  9:59 PM,Garantovaný,18038,4,0,0,0,,285.0,0.0,0.0,50000,,,5140.83,285.0,0.0,0.0,,5140.83,203,CZK,0.0,0.0,0.0,,0.0222,12778,56840,http://cent.aimatch.com/flights/56840/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,25wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,06/16/2019 10:00 PM,06/23/2019  9:59 PM,Garantovaný,16173,4,0,0,0,,285.0,0.0,0.0,50000,,,4609.3,285.0,0.0,0.0,,4609.3,203,CZK,0.0,0.0,0.0,,0.0247,12778,56965,http://cent.aimatch.com/flights/56965/edit
03/01/2019,08/31/2019,filip.obch,108 AGENCY sro,1902 S024603,26wk - Realitymix (Komerce) - Double Leaderboard - 990x210,1811_doubleleaderboard_990x210,46239,06/23/2019 10:00 PM,06/30/2019  9:59 PM,Garantovaný,6593,1,0,0,0,,285.0,0.0,0.0,50000,,,1879.0,285.0,0.0,0.0,,1879.0,203,CZK,0.0,0.0,0.0,,0.0152,12778,57061,http://cent.aimatch.com/flights/57061/edit
