Campaign_Start_Date,Campaign_End_Date,Salesperson,Advertiser,Campaign,Flight,Creative,creative_id,Flight_Start_Date,Flight_End_Date,Tier,Served,Clicked,Acted,Acted_Post_Imps,Acted_Post_Clicks,Flat_rate,Cost_impressions,Cost_clicks,Cost_actions,Impressions,Clicks,Actions,Revenue,Cost_impressions_local,Cost_clicks_local,Cost_actions_local,Flat_rate_local,Revenue_local,Currency_id,Currency_code,Cost_per_actions,Cost_per_actions_post_imps,Cost_per_actions_post_clicks,OSI,CTR,CampaignId,flight_id,Flight_url
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w42,1908_Active24_branding_04,52054,10/13/2019 10:00 PM,10/20/2019  9:59 PM,Garantovaný,1,0,0,0,0,"",176.8,0.0,0.0,150000,"","",0.18,176.8,0.0,0.0,"",0.18,203,CZK,0.0,0.0,0.0,92.98735857009888,0.0,13697,57594,http://cent.aimatch.com/flights/57594/edit
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w44,1908_Active24_branding_01,52052,10/27/2019 11:00 PM,11/03/2019 10:59 PM,Garantovaný,2095,41,0,0,0,"",176.8,0.0,0.0,160972,"","",370.4,176.8,0.0,0.0,"",370.4,203,CZK,0.0,0.0,0.0,100.0,1.957,13697,57595,http://cent.aimatch.com/flights/57595/edit
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w44,1908_Active24_branding_02,52053,10/27/2019 11:00 PM,11/03/2019 10:59 PM,Garantovaný,2130,29,0,0,0,"",176.8,0.0,0.0,160972,"","",376.58,176.8,0.0,0.0,"",376.58,203,CZK,0.0,0.0,0.0,100.0,1.3615,13697,57595,http://cent.aimatch.com/flights/57595/edit
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w44,1908_Active24_branding_04,52054,10/27/2019 11:00 PM,11/03/2019 10:59 PM,Garantovaný,2051,29,0,0,0,"",176.8,0.0,0.0,160972,"","",362.62,176.8,0.0,0.0,"",362.62,203,CZK,0.0,0.0,0.0,100.0,1.4139,13697,57595,http://cent.aimatch.com/flights/57595/edit
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w44,1908_Active24_branding_05,52055,10/27/2019 11:00 PM,11/03/2019 10:59 PM,Garantovaný,2174,42,0,0,0,"",176.8,0.0,0.0,160972,"","",384.36,176.8,0.0,0.0,"",384.36,203,CZK,0.0,0.0,0.0,100.0,1.9319,13697,57595,http://cent.aimatch.com/flights/57595/edit
09/02/2019,11/03/2019,Anežka Zýková,Active24,1909_Active24_podzim 2019,Obsahový floating garantovaný Branding_w44,1908_Active24_branding_06,52056,10/27/2019 11:00 PM,11/03/2019 10:59 PM,Garantovaný,2035,44,0,0,0,"",176.8,0.0,0.0,160972,"","",359.79,176.8,0.0,0.0,"",359.79,203,CZK,0.0,0.0,0.0,100.0,2.1622,13697,57595,http://cent.aimatch.com/flights/57595/edit
01/23/2019,01/04/2020,SME,Aeolus,1901_AEOLUS_30396393,Najisto - Branding,1901_AEOLUS_Branding,47815,01/22/2019 11:00 PM,01/04/2020 10:59 PM,Exkluzivní,79,0,0,0,0,31200.0,"","","","","","",31200.0,"","","",31200.0,31200.0,203,CZK,0.0,0.0,0.0,99.99974966049194,0.0,12718,53503,http://cent.aimatch.com/flights/53503/edit
"","","",aiMatch_appnexus_Integration_Advertiser,aiMatch_appnexus_Integration_Campaign,aiMatch_appnexus_Integration_Flight,aiMatch_appnexus_Integration_Creative_79a,50182,03/27/2018  3:09 PM,"",default,2810,0,0,0,0,"","","","","","","",0.0,"","","","",0.0,203,CZK,0.0,0.0,0.0,"",0.0,10864,46606,http://cent.aimatch.com/flights/46606/edit
"","","",aiMatch_appnexus_Integration_Advertiser,aiMatch_appnexus_Integration_Campaign,aiMatch_appnexus_Integration_Flight,aiMatch_appnexus_Integration_Creative_79b,50183,03/27/2018  3:09 PM,"",default,2707,0,0,0,0,"","","","","","","",0.0,"","","","",0.0,203,CZK,0.0,0.0,0.0,"",0.0,10864,46606,http://cent.aimatch.com/flights/46606/edit
"","","",aiMatch_appnexus_Integration_Advertiser,aiMatch_appnexus_Integration_Campaign,aiMatch_appnexus_Integration_Flight,aiMatch_appnexus_Integration_Creative_91a,50184,03/27/2018  3:09 PM,"",default,601,0,0,0,0,"","","","","","","",0.0,"","","","",0.0,203,CZK,0.0,0.0,0.0,"",0.0,10864,46606,http://cent.aimatch.com/flights/46606/edit
